month,symbol,date,rule,ret,tp_hit
2023-01,ACIC,2023-01-13,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2023-01,GRNQ,2023-01-12,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.18481927710843385,False
2023-01,BTCS,2023-01-11,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.24500000000000008,False
2023-01,DGXX,2023-01-26,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.2528042328042328,False
2023-01,VIOT,2023-01-23,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.4531333333333334,False
2023-01,VRME,2023-01-11,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.15125000000000008,False
2023-01,SY,2023-01-04,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2023-01,LPTH,2023-01-12,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.04666666666666673,False
2023-01,RMTI,2023-01-11,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2023-01,QTEX,2023-01-23,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.21075144508670526,False
2023-02,GIGM,2023-02-01,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-02,BTBT,2023-02-01,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-02,NXGL,2023-02-10,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,DHC,2023-03-03,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,BTBT,2023-03-31,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,AVAH,2023-03-08,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,CD,2023-03-08,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,XERS,2023-03-07,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-03,LUCD,2023-03-07,30d/sub$1.5/$1.50-$1.80/+20%/90d,-0.14903225806451612,False
2023-04,GRNQ,2023-04-03,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
