symbol,date,prev_close,rth_open,gap_pct,long_ret,short_ret,short_eod,rth_close,intraday_high_x_open
PROK,2025-07-08,0.6069999933242798,1.27,1.0922570246578625,0.05,-0.03,-1.9291338582677167,3.72,3.874015748031496
PSIG,2024-09-11,7.223999977111816,7.496,0.037652273498058664,-0.03,0.05,-0.16243329775880458,8.7136,1.3447171824973319
PSIG,2026-02-02,4.809999942779541,4.81,1.1896145402090497e-08,-0.04573804573804574,0.06110187110187104,-0.37214137214137216,6.6,1.4386694386694387
QNCX,2026-02-10,1.2999999523162842,2.834,1.1800000799619266,-0.03,0.05,-0.8627381792519406,5.279,2.300635144671842
QNCX,2026-02-11,5.28000020980835,7.151,0.3543560067887881,-0.03,0.05,0.15801985736260662,6.021,1.3705775416025732
QNCX,2026-02-18,1.850000023841858,1.615,-0.12702703827745798,0.05,-0.03,-0.08359133126934985,1.75,1.4687306501547988
QNTM,2025-03-17,4.889999866485596,5.57,0.13905933580385055,-0.03,0.05,-0.2854578096947935,7.16,1.5439856373429084
QNTM,2026-04-27,3.609999895095825,3.65,0.01108036179128824,0.05,-0.03063013698630135,-0.2273698630136986,4.4799,1.3643561643835616
QUBT,2024-11-13,1.3799999952316284,1.44,0.04347826447513925,0.05,-0.03,-0.8465277777777778,2.659,2.375
QUCY,2026-05-14,1.340000033378601,1.9,0.41791041244189087,0.05,-0.03,-0.5763157894736843,2.995,2.0894736842105264
QUCY,2026-05-15,3.0,2.461,-0.17966666666666675,0.05,-0.03,-0.40857375050792366,3.4665,2.0032507110930515
REPL,2025-07-23,2.805000066757202,2.74,-0.023172928773704804,0.05,-0.03,-0.21536496350364948,3.3301,1.405109489051095
RMSG,2024-12-11,1.7400000095367432,1.74,-5.480886855480094e-09,0.06321839080459779,-0.034482758620689724,-0.20465517241379302,2.0961,1.367816091954023
RMSG,2025-08-06,1.659999966621399,1.77,0.066265081680986,0.05084745762711873,-0.05084745762711873,-0.3163841807909605,2.33,2.1920903954802258
RXT,2026-03-03,2.2200000286102295,2.079,-0.06351352558247425,-0.03,-0.03,-0.18393458393458373,2.4614,1.317941317941318
RYOJ,2025-10-21,3.799999952316284,4.8698,0.2815263318705097,-0.03,0.05,-0.9405314386627788,9.45,2.347118978192123
RYOJ,2026-05-22,2.009999990463257,2.43,0.20895522961666457,0.05,-0.03,-1.037037037037037,4.95,3.333333333333333
SATL,2026-03-23,3.5899999141693115,3.72,0.036211723938374796,0.05,-0.03,-0.33333333333333326,4.96,1.3629032258064515
SBET,2024-12-06,6.239999771118164,6.288,0.007692344654242733,0.05,-0.03,-0.7396946564885495,10.9392,2.1374045801526718
